Timestamp,Cargo Scored,Team Number,Starting Platform,Game Piece Start,Sandstorm Hatch,Sandstorm Cargo,Ship Cargo,Ship Hatch,Rocket Cargo,Rocket Hatch,Dropped Cargo,Dropped Hatch,Total Cargo,Total Hatch,Total Points,Rocket Level,"Did they defend? If so, how well?",,HAB Level,Did they show?,Additional comments (optional),Hatches Scored
3/16/2019 14:47,4,614,2,Hatch Panel,Neither,Neither,4,1,0,0,0,0,4,0,12,0,Did not defend,,2,Yes,,1
3/17/2019 9:28,2,614,2,Hatch Panel,Neither,Neither,2,3,0,0,0,1,0,0,0,1,Did not defend,,1,Yes,,3
3/16/2019 14:09,1,614,2,Hatch Panel,Cargo Ship,Neither,1,0,0,3,0,0,1,0,3,1,Did not defend,,2,Yes,,3
3/16/2019 18:23,3,686,1,Hatch Panel,Cargo Ship,Neither,3,1,0,0,1,0,3,1,11,0,Good,,2,Yes,,1
3/16/2019 12:12,3,686,1,Hatch Panel,Cargo Ship,Neither,3,1,0,0,2,1,3,2,13,0,Did not defend,,3,Yes,,1
3/16/2019 16:29,3,686,1,Hatch Panel,Neither,Neither,3,0,0,0,0,2,3,0,9,0,Did not defend,,0,Yes,Can pick hatches up off ground but not well,0
3/16/2019 17:11,2,686,1,Hatch Panel,Neither,Neither,2,0,0,0,1,1,2,1,8,0,Did not defend,,3,Yes,,0
3/16/2019 14:47,1,686,1,Hatch Panel,Cargo Ship,Neither,1,0,0,0,1,0,1,1,5,0,Did not defend,,3,Yes,,0
3/17/2019 9:40,1,686,2,Cargo,Neither,Neither,1,0,0,0,2,0,0,0,0,0,Did not defend,,3,Yes,Was defended by 4505,0
3/16/2019 14:10,0,686,1,Hatch Panel,Rocket,Neither,0,1,0,2,0,0,0,0,0,1,Did not defend,,2,Yes,,3
3/16/2019 15:48,0,686,1,Hatch Panel,Neither,Neither,0,0,0,2,0,2,0,0,0,1,Did not defend,,2,Yes,,2
3/16/2019 15:06,3,836,1,Hatch Panel,Cargo Ship,Neither,2,2,1,2,0,0,3,1,11,1,Did not defend,,3,Yes,,4
3/16/2019 17:24,3,836,1,Hatch Panel,Cargo Ship,Neither,2,2,1,2,0,0,3,1,11,1,Did not defend,,3,Yes,,4
3/16/2019 16:55,2,836,1,Hatch Panel,Cargo Ship,Neither,0,1,2,2,1,1,2,3,12,1,Did not defend,,3,Yes,Also a really good controlled team,3
3/16/2019 11:41,1,836,1,Hatch Panel,Cargo Ship,Neither,0,2,1,2,0,0,1,1,5,1,Did not defend,,3,,"Good climb, fast",4
3/16/2019 14:33,0,836,1,Hatch Panel,Cargo Ship,Neither,0,2,0,2,0,0,0,0,0,1,Did not defend,,3,Yes,Quick at hatch,4
3/16/2019 14:54,4,888,2,Cargo,Neither,Neither,4,0,0,1,0,0,4,0,12,1,Did not defend,,2,Yes,Couldn’t grab hatches well,1
3/16/2019 16:35,4,888,2,Cargo,Neither,Neither,4,0,0,0,2,0,4,2,16,0,Did not defend,,1,Yes,,0
3/16/2019 17:05,4,888,1,Cargo,Neither,Neither,4,0,0,0,2,0,4,2,16,0,Did not defend,,3,Yes,,0
3/16/2019 11:04,3,888,2,Cargo,Neither,Cargo Ship,3,4,0,0,0,1,3,0,9,0,Did not defend,,0,,Very unstable,4
3/16/2019 14:33,3,888,2,Cargo,Neither,Cargo Ship,3,0,0,0,1,0,3,1,11,0,Did not defend,,2,Yes,,0
3/16/2019 18:31,2,888,2,Cargo,Neither,Cargo Ship,2,1,0,1,0,0,2,0,6,1,Did not defend,,3,Yes,"Pretty good, hi khang ",2
3/16/2019 17:46,1,888,2,Cargo,Neither,Neither,1,0,0,0,0,0,1,0,3,0,Did not defend,,3,Yes,,0
3/16/2019 14:33,4,1111,1,Hatch Panel,Cargo Ship,Neither,4,1,0,1,1,0,4,1,14,1,Did not defend,,0,Yes,,2
3/16/2019 15:21,4,1111,1,Hatch Panel,Cargo Ship,Neither,4,1,0,1,0,0,4,0,12,1,Did not defend,,1,Yes,,2
3/17/2019 9:53,4,1111,1,Hatch Panel,Cargo Ship,Neither,3,1,1,1,0,0,0,0,0,1,Did not defend,,1,Yes,,2
3/16/2019 14:32,4,1111,1,Hatch Panel,Cargo Ship,Neither,4,0,0,1,1,0,4,1,14,1,Did not defend,,0,Yes,,1
3/16/2019 12:40,3,1111,1,Hatch Panel,Cargo Ship,Neither,3,1,0,0,2,0,3,2,13,0,Did not defend,,0,Yes,,1
3/16/2019 18:23,0,1111,1,Hatch Panel,Cargo Ship,Neither,0,1,0,3,0,0,0,0,0,2,Did not defend,,0,Yes,,4
3/16/2019 15:41,0,1111,1,Hatch Panel,Neither,Neither,0,1,0,1,0,0,0,0,0,1,Did not defend,,1,Yes,,2
3/16/2019 11:45,0,1111,1,Hatch Panel,Neither,Neither,0,1,0,0,0,0,0,0,0,0,Did not defend,,1,,,1
3/17/2019 9:53,3,1389,1,Cargo,Neither,Cargo Ship,3,0,0,0,1,0,0,0,0,0,Did not defend,,1,Yes,,0
3/16/2019 17:04,2,1389,1,Cargo,Neither,Neither,2,0,0,0,0,0,2,0,6,0,Poor,,1,Yes,I couldn’t see very well,0
3/16/2019 14:25,2,1389,2,Cargo,Neither,Neither,2,0,0,0,2,0,2,2,10,0,Did not defend,,1,Yes,,0
3/16/2019 16:21,2,1389,1,Cargo,Neither,Neither,2,0,0,0,2,0,2,2,10,0,Did not defend,,0,Yes,,0
3/16/2019 12:26,1,1389,1,Hatch Panel,Rocket,Neither,0,0,1,3,0,1,1,1,5,2,Did not defend,,0,Yes,,3
3/16/2019 15:28,1,1389,2,Cargo,Neither,Neither,1,0,0,0,1,0,1,1,5,0,Mediocre,,1,Yes,,0
3/17/2019 9:21,0,1389,2,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Poor,,0,Yes,,0
3/17/2019 9:37,4,1629,1,Hatch Panel,Both,Neither,4,1,0,3,0,0,0,0,0,2,Did not defend,,3,Yes,,4
3/16/2019 17:17,4,1629,1,Hatch Panel,Cargo Ship,Neither,4,0,0,1,0,0,4,0,12,1,Did not defend,,3,Yes,,1
3/16/2019 15:40,3,1629,1,Hatch Panel,Cargo Ship,Neither,3,0,0,3,0,0,3,0,9,3,Did not defend,,3,Yes,,3
3/16/2019 14:54,1,1629,1,Hatch Panel,Cargo Ship,Neither,1,2,0,2,1,0,1,1,5,1,Did not defend,,Fell down,Yes,Decent with hatches but fell down,4
3/16/2019 11:17,0,1629,1,Hatch Panel,Cargo Ship,Neither,0,4,0,0,0,0,0,0,0,0,Did not defend,,2,,,4
3/16/2019 18:16,0,1629,1,Hatch Panel,Cargo Ship,Neither,0,1,0,2,1,0,0,1,2,2,Did not defend,,3,Yes,,3
3/16/2019 12:40,3,1719,1,Hatch Panel,Neither,Neither,3,1,0,0,0,0,3,0,9,0,Did not defend,,3,Yes,,1
3/16/2019 14:10,2,1719,1,Hatch Panel,Cargo Ship,Neither,0,1,2,2,0,0,2,2,10,2,Did not defend,,3,Yes,"Decent cycle time, good with hatches ",3
3/16/2019 11:27,2,1719,1,Hatch Panel,Neither,Neither,2,1,0,1,0,1,2,0,6,1,Did not defend,,3,,Close to being under third,2
3/16/2019 17:46,1,1719,1,Hatch Panel,Neither,Neither,1,1,0,0,0,3,1,0,3,0,Did not defend,,3,Yes,,1
3/16/2019 15:00,0,1719,1,Hatch Panel,Neither,Neither,0,2,0,1,0,0,0,0,0,1,Did not defend,,2,Yes,,3
3/16/2019 14:09,0,1719,1,Hatch Panel,Cargo Ship,Neither,0,1,0,1,0,0,0,0,0,1,Did not defend,,3,Yes,,2
3/17/2019 9:27,0,1719,1,Hatch Panel,Neither,Neither,0,0,0,1,0,0,0,0,0,1,Did not defend,,3,Yes,,1
3/17/2019 9:27,0,1719,1,Hatch Panel,Neither,Neither,0,0,0,1,0,0,0,0,0,1,Did not defend,,3,Yes,,1
3/16/2019 18:38,6,2199,1,Hatch Panel,Cargo Ship,Neither,5,1,1,0,2,0,6,3,24,2,Did not defend,,3,Yes,"Best team, :(",1
3/17/2019 9:53,4,2199,1,Hatch Panel,Cargo Ship,Neither,4,2,0,0,0,0,0,0,0,0,Did not defend,,3,Yes,,2
3/16/2019 18:09,4,2199,1,Hatch Panel,Neither,Neither,0,0,4,0,1,1,4,5,22,0,Did not defend,,3,Yes,,0
3/16/2019 14:53,3,2199,1,Hatch Panel,Neither,Neither,3,1,0,0,0,0,3,0,9,0,Did not defend,,3,Yes,,1
3/16/2019 12:18,1,2199,1,Hatch Panel,Cargo Ship,Neither,1,1,0,2,1,0,1,1,5,1,Did not defend,,3,Yes,,3
